*2010,,,,
81, -,Chris Starkjohann,4,"$9,917"
82, -,Rick Heath,1,"$9,735"
83, -,Ahmad Bateman,1,"$9,625"
84, -,Camilo Benedetti,1,"$9,600"
85, -,Greg Meyer,1,"$8,928"
86, -,Nick Gilliam,3,"$8,926"
87, -,Jason Knutzon,1,"$8,920"
88, -,Steven Bowditch,1,"$8,299"
89, -,Gavin Flint,1,"$7,932"
90, -,Akio Sadakata,2,"$7,315"
91, -,David Lundstrom,2,"$7,000"
92, -,Rich Barcelo,3,"$6,945"
93, -,Ben Portie,1,"$6,780"
94, -,P.H. Horgan III,2,"$6,540"
95, -,Ryan Dillon,1,"$6,060"
*2004,,,,
1, -,Padraig Harrington,12,"$1,882,276"
2, -,Lee Westwood,11,"$526,899"
3, -,Paul Casey,11,"$517,939"
4, -,Bill Haas,10,"$315,259"
5, -,Camilo Villegas,10,"$237,984"
6, -,Angel Cabrera,8,"$237,839"
7, -,Paul McGinley,5,"$215,101"
8, -,Ian Poulter,9,"$176,318"
9, -,Phillip Price,12,"$150,749"
10, -,Brian Davis,7,"$110,250"
11, -,Trevor Immelman,12,"$109,560"
12, -,Barry Lane,3,"$105,802"
13, -,Joakim Haeggman,5,"$105,316"
14, -,Colin Montgomerie,6,"$96,479"
15, -,Michael Campbell,6,"$86,006"
16, -,Casey Wittenberg,9,"$85,670"
17, -,Ricky Barnes,7,"$85,520"
18, -,Jean-Francois Remesy,3,"$76,857"
19, -,Keiichiro Fukabori,5,"$73,063"
20, -,Gary Evans,1,"$71,346"
21, -,Miguel A. Jimenez,7,"$66,367"
22, -,Jyoti Randhawa,3,"$60,665"
23, -,Takashi Kamiyama,1,"$54,305"
24, -,Brandt Snedeker,9,"$54,215"
25, -,Kevin Stadler,5,"$49,541"
26, -,David Roesch,2,"$48,024"
27, -,Eduardo Romero,6,"$43,750"
28, -,Hideto Tanihara,3,"$41,729"
29, -,Nick Faldo,6,"$40,460"
T30, -,Kim Felton,1,"$35,111"
T30, -,Tetsuji Hiratsuka,4,"$35,111"
T32, -,Nick O'Hern,2,"$34,250"
T32, -,Chip Sullivan,1,"$34,250"
34, -,Mike Small,2,"$33,360"
35, -,Paul Lawrie,5,"$32,663"
36, -,Geoffrey Sisk,2,"$30,672"
37, -,Tim Wilkinson,1,"$29,820"
T38, -,Kenneth Ferrie,1,"$27,714"
T38, -,Andy Oldcorn,1,"$27,714"
40, -,Doug Barron,1,"$23,291"
41, -,Pete Jordan,2,"$23,280"
42, -,Kelly Mitchum,2,"$22,432"
T43, -,Paul Bradshaw,1,"$22,404"
T43, -,Alastair Forsyth,1,"$22,404"
T43, -,Sean Whiffin,1,"$22,404"
T46, -,Jason Hartwick,2,"$21,306"
T46, -,Tim Thelen,5,"$21,306"
48, -,Kevin Durkin,2,"$21,197"
T49, -,Ignacio Garrido,1,"$19,756"
T49, -,Raphael Jacquelin,2,"$19,756"
51, -,James Kingston,1,"$19,101"
52, -,Steve Friesen,1,"$18,550"
T53, -,Paul Broadhurst,1,"$18,539"
T53, -,Gary Emerson,1,"$18,539"
55, -,David Howell,3,"$18,500"
56, -,Franklin Langham,1,"$18,450"
57, -,Mark B. Foster,1,"$18,071"
58, -,Marten Olander,1,"$17,696"
T59, -,Martin Erlandsson,1,"$17,322"
T59, -,Paul Wesselingh,1,"$17,322"
61, -,Christian Cevaer,1,"$16,760"
62, -,Casey Martin,2,"$15,858"
63, -,S.K. Ho,4,"$13,200"
64, -,Shingo Katayama,3,"$12,650"
65, -,Scott Drummond,4,"$12,350"
66, -,Lian-wei Zhang,4,"$12,072"
67, -,Roy Biancalana,2,"$11,900"
68, -,Jim Rutledge,1,"$11,898"
69, -,Jeff Coston,1,"$11,800"
70, -,Andrew McLardy,3,"$11,526"
71, -,Edward Loar,1,"$11,400"
72, -,Charley Hoffman,1,"$11,296"
T73, -,Erik Compton,2,"$11,050"
T73, -,Sven Struver,2,"$11,050"
75, -,Kenichi Kuboya,1,"$10,944"
76, -,Bryce Molder,3,"$10,716"
77, -,David Ishii,1,"$10,464"
78, -,Chris Nallen,3,"$10,366"
79, -,Chris Stroud,1,"$10,350"
80, -,Darren Fichardt,3,"$10,133"
81, -,Scott Gutschewski,1,"$9,858"
